Date,Open,High,Low,Close,Adj Close,Volume
1995-09-26,34.500000,34.500000,34.250000,34.312500,20.880777,1934800
1995-09-27,33.937500,33.937500,33.437500,33.875000,20.614542,2568800
1995-09-28,33.875000,34.375000,33.750000,34.312500,20.880777,2088600
1995-09-29,34.312500,34.687500,34.062500,34.125000,20.766691,1833000
1995-10-02,34.000000,34.000000,33.312500,33.562500,20.424377,1371400
1995-10-03,33.500000,33.500000,32.250000,32.812500,19.967957,3377200
1995-10-04,32.750000,32.750000,32.250000,32.375000,19.701725,2162000
1995-10-05,32.375000,32.375000,31.937500,32.312500,19.663696,2410600
1995-10-06,32.312500,32.812500,32.062500,32.687500,19.891897,1584000
1995-10-09,32.687500,32.687500,31.937500,32.000000,19.473520,1435000
1995-10-10,32.000000,32.437500,31.000000,32.375000,19.701725,3505000
1995-10-11,32.375000,33.062500,32.375000,33.000000,20.082066,2300400
1995-10-12,33.000000,33.562500,32.875000,33.312500,20.272228,2292000
1995-10-13,33.312500,33.812500,33.312500,33.750000,20.538483,2362600
1995-10-16,33.750000,34.062500,33.687500,33.812500,20.576506,1350800
1995-10-17,33.812500,33.812500,33.125000,33.312500,20.272228,1505600
1995-10-18,33.312500,33.375000,32.562500,32.812500,19.967957,2373200
1995-10-19,32.812500,32.875000,32.500000,32.750000,19.929930,1830600
1995-10-20,32.812500,33.375000,32.812500,33.125000,20.158131,1624600
1995-10-23,33.125000,33.250000,32.625000,33.250000,20.234198,1222200
1995-10-24,33.250000,33.562500,33.062500,33.437500,20.348297,1098800
1995-10-25,33.437500,33.875000,33.437500,33.625000,20.462404,2125000
1995-10-26,33.625000,33.812500,32.875000,33.125000,20.158131,1914800
1995-10-27,33.125000,33.875000,33.125000,33.875000,20.614542,1280000
1995-10-30,33.875000,33.875000,33.375000,33.562500,20.424377,1192600
1995-10-31,33.562500,33.562500,32.750000,32.750000,19.929930,1509800
1995-11-01,32.937500,34.250000,32.937500,34.000000,20.690613,4305800
1995-11-02,34.000000,35.187500,33.875000,34.687500,21.108986,3594200
1995-11-03,34.687500,35.062500,34.375000,34.687500,21.108986,1843400
1995-11-06,34.687500,34.937500,34.312500,34.875000,21.223095,2061800
1995-11-07,34.875000,35.062500,34.625000,34.875000,21.223095,1717000
1995-11-08,34.875000,35.000000,34.687500,34.937500,21.414629,2433000
1995-11-09,34.937500,35.125000,34.937500,35.000000,21.452959,1275000
1995-11-10,35.000000,35.812500,34.875000,35.625000,21.836025,1637400
1995-11-13,35.625000,36.062500,35.312500,35.875000,21.989265,1746200
1995-11-14,35.875000,36.500000,35.625000,35.750000,21.912647,2108800
1995-11-15,35.750000,37.187500,35.625000,37.000000,22.678831,3008800
1995-11-16,37.312500,37.937500,37.312500,37.937500,23.253454,4572800
1995-11-17,37.937500,38.000000,36.750000,36.875000,22.602201,3332400
1995-11-20,36.875000,37.187500,36.562500,36.625000,22.448967,1530800
1995-11-21,36.625000,36.812500,36.312500,36.687500,22.487272,1414200
1995-11-22,36.687500,37.187500,36.375000,37.062500,22.717133,4764600
1995-11-24,36.937500,36.937500,36.625000,36.750000,22.525595,1167600
1995-11-27,36.750000,36.937500,36.437500,36.625000,22.448967,2035000
1995-11-28,36.625000,36.687500,36.000000,36.000000,22.065893,1672400
1995-11-29,36.125000,36.687500,36.125000,36.687500,22.487272,2461800
1995-11-30,36.625000,36.625000,36.312500,36.437500,22.334044,2314000
1995-12-01,36.437500,37.062500,36.437500,36.750000,22.525595,2329800
1995-12-04,36.500000,36.500000,36.312500,36.375000,22.295738,1600800
1995-12-05,36.375000,37.187500,36.187500,37.000000,22.678831,1906600
1995-12-06,37.187500,37.625000,37.187500,37.562500,23.023607,1682800
1995-12-07,37.500000,37.500000,36.687500,37.023399,22.693169,1605000
1995-12-08,37.023399,37.062500,36.500000,36.687500,22.487272,1042800
1995-12-11,36.687500,36.687500,36.312500,36.437500,22.334044,1373200
1995-12-12,36.750000,37.437500,36.750000,37.187500,22.793751,1974000
1995-12-13,37.250000,38.437500,37.250000,38.250000,23.445004,2416200
1995-12-14,38.187500,38.187500,36.562500,36.750000,22.525595,2024800
1995-12-15,37.250000,37.812500,37.250000,37.687500,23.100212,4464400
1995-12-18,37.625000,37.625000,36.250000,36.437500,22.334044,1852600
1995-12-19,36.625000,38.062500,36.625000,37.687500,23.100212,3989400
1995-12-20,38.062500,40.000000,38.062500,39.000000,23.904701,4334000
1995-12-21,38.750000,38.750000,37.562500,38.375000,23.521622,2448600
1995-12-22,38.375000,39.187500,38.250000,38.750000,23.751478,2277600
1995-12-26,38.750000,39.062500,38.687500,38.875000,23.828087,854400
1995-12-27,38.875000,39.312500,38.812500,38.937500,23.866400,1232800
1995-12-28,38.937500,39.125000,38.687500,38.875000,23.828087,1213400
1995-12-29,38.875000,39.437500,38.812500,39.187500,24.019642,1155600
1996-01-02,39.187500,40.562500,38.937500,39.937500,24.479334,2617800
